unit_id,source_normalized_id,name,level,unit_type,unit_class,parent_id,region_id,subregion_id
region:central,,CENTRAL,REGION,REGION,ADMINISTRATIVE,,region:central,
region:eastern,,EASTERN,REGION,REGION,ADMINISTRATIVE,,region:eastern,
region:northern,,NORTHERN,REGION,REGION,ADMINISTRATIVE,,region:northern,
region:western,,WESTERN,REGION,REGION,ADMINISTRATIVE,,region:western,
subregion:buganda,,BUGANDA,SUBREGION,SUBREGION,ADMINISTRATIVE,region:central,region:central,subregion:buganda
subregion:kampala,,KAMPALA,SUBREGION,SUBREGION,ADMINISTRATIVE,region:central,region:central,subregion:kampala
subregion:bugisu,,BUGISU,SUBREGION,SUBREGION,ADMINISTRATIVE,region:eastern,region:eastern,subregion:bugisu
subregion:bukedi,,BUKEDI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:eastern,region:eastern,subregion:bukedi
subregion:busoga,,BUSOGA,SUBREGION,SUBREGION,ADMINISTRATIVE,region:eastern,region:eastern,subregion:busoga
subregion:sebei,,SEBEI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:eastern,region:eastern,subregion:sebei
subregion:teso,,TESO,SUBREGION,SUBREGION,ADMINISTRATIVE,region:eastern,region:eastern,subregion:teso
subregion:acholi,,ACHOLI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:northern,region:northern,subregion:acholi
subregion:karamoja,,KARAMOJA,SUBREGION,SUBREGION,ADMINISTRATIVE,region:northern,region:northern,subregion:karamoja
subregion:lango,,LANGO,SUBREGION,SUBREGION,ADMINISTRATIVE,region:northern,region:northern,subregion:lango
subregion:madi,,MADI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:northern,region:northern,subregion:madi
subregion:west-nile,,WEST NILE,SUBREGION,SUBREGION,ADMINISTRATIVE,region:northern,region:northern,subregion:west-nile
subregion:ankole,,ANKOLE,SUBREGION,SUBREGION,ADMINISTRATIVE,region:western,region:western,subregion:ankole
subregion:bunyoro,,BUNYORO,SUBREGION,SUBREGION,ADMINISTRATIVE,region:western,region:western,subregion:bunyoro
subregion:kigezi,,KIGEZI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:western,region:western,subregion:kigezi
subregion:rwenzori,,RWENZORI,SUBREGION,SUBREGION,ADMINISTRATIVE,region:western,region:western,subregion:rwenzori
subregion:tooro,,TOORO,SUBREGION,SUBREGION,ADMINISTRATIVE,region:western,region:western,subregion:tooro
district:apac,D001,APAC,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:lango,region:northern,subregion:lango
district:arua,D002,ARUA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:west-nile,region:northern,subregion:west-nile
district:bundibugyo,D003,BUNDIBUGYO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:rwenzori,region:western,subregion:rwenzori
district:bushenyi,D004,BUSHENYI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:ankole,region:western,subregion:ankole
district:gulu,D005,GULU,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:acholi,region:northern,subregion:acholi
district:hoima,D006,HOIMA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:bunyoro,region:western,subregion:bunyoro
district:iganga,D007,IGANGA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:busoga,region:eastern,subregion:busoga
district:jinja,D008,JINJA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:busoga,region:eastern,subregion:busoga
district:kabale,D009,KABALE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:kigezi,region:western,subregion:kigezi
district:kabarole,D010,KABAROLE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:tooro,region:western,subregion:tooro
district:kalangala,D011,KALANGALA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:kampala,D012,KAMPALA,DISTRICT_CITY,CAPITAL_CITY,ADMINISTRATIVE,subregion:kampala,region:central,subregion:kampala
district:kamuli,D013,KAMULI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:busoga,region:eastern,subregion:busoga
district:kapchorwa,D014,KAPCHORWA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:sebei,region:eastern,subregion:sebei
district:kasese,D015,KASESE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:rwenzori,region:western,subregion:rwenzori
district:kibaale,D016,KIBAALE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:bunyoro,region:western,subregion:bunyoro
district:kiboga,D017,KIBOGA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:kisoro,D018,KISORO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:kigezi,region:western,subregion:kigezi
district:kitgum,D019,KITGUM,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:acholi,region:northern,subregion:acholi
district:kotido,D020,KOTIDO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:karamoja,region:northern,subregion:karamoja
district:kumi,D021,KUMI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:teso,region:eastern,subregion:teso
district:lira,D022,LIRA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:lango,region:northern,subregion:lango
district:luwero,D023,LUWEERO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:masaka,D024,MASAKA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:masindi,D025,MASINDI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:bunyoro,region:western,subregion:bunyoro
district:mbale,D026,MBALE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:bugisu,region:eastern,subregion:bugisu
district:mbarara,D027,MBARARA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:ankole,region:western,subregion:ankole
district:moroto,D028,MOROTO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:karamoja,region:northern,subregion:karamoja
district:moyo,D029,MOYO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:madi,region:northern,subregion:madi
district:mpigi,D030,MPIGI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:mubende,D031,MUBENDE,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:mukono,D032,MUKONO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:buganda,region:central,subregion:buganda
district:nebbi,D033,NEBBI,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:west-nile,region:northern,subregion:west-nile
district:ntungamo,D034,NTUNGAMO,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:ankole,region:western,subregion:ankole
district:pallisa,D035,PALLISA,DISTRICT_CITY,DISTRICT,ADMINISTRATIVE,subregion:bukedi,region:eastern,subregion:bukedi
