political_unit,unit_type,prisons_catchment,centre_code,mapping_basis,centre_review,source
Abim,District,North Eastern,IC05,Documented recruitment grouping,No centre conflict,S4; S5; S6
Adjumani,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Agago,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Alebtong,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Amolatar,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Amudat,District,North Eastern,IC04,Documented recruitment grouping,No centre conflict,S4; S5; S6
Amuria,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Amuru,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Apac,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Arua,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Arua City,City,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Budaka,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bududa,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bugiri,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bugweri,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Buhweju,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Buikwe,District,East Central,IC02,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bukedea,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bukomansimbi,District,Southern,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bukwo,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bulambuli,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Buliisa,District,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bundibugyo,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bunyangabu,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Bushenyi,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Busia,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Butaleja,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Butambala,District,Central / Kampala Extra,IC10,Shared recruitment catchment,No centre conflict,S4; S5; S6
Butebo,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Buvuma,District,East Central,IC02,Documented recruitment grouping,No centre conflict,S4; S5; S6
Buyende,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Dokolo,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Fort Portal City,City,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Gomba,District,Central / Kampala Extra,IC10,Shared recruitment catchment,No centre conflict,S4; S5; S6
Gulu,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Gulu City,City,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Hoima,District,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Hoima City,City,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Ibanda,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Iganga,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Isingiro,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Jinja,District,South Eastern,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Jinja City,City,South Eastern,IC01,Documented recruitment grouping,Jinja / Mbale discrepancy,S4; S5; S6
Kaabong,District,North Eastern,IC05,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kabale,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kabarole,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kaberamaido,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kagadi,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kakumiro,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kalaki,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kalangala,District,Southern,IC11,Documented recruitment grouping,Added from notices,S4; S5; S6
Kaliro,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kalungu,District,Southern,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kampala,City,Central / Kampala Extra,IC07,Shared recruitment catchment,No centre conflict,S4; S5; S6
Kamuli,District,South Eastern,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kamwenge,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kanungu,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kapchorwa,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kapelebyong,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Karenga,District,North Eastern,IC05,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kasese,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kassanda,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Katakwi,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kayunga,District,East Central,IC02,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kazo,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kibaale,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kiboga,District,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kibuku,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kikuube,District,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kiruhura,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kiryandongo,District,Mid-Western,IC18,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kisoro,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kitagwenda,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kitgum,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Koboko,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kole,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kotido,District,North Eastern,IC05,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kumi,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kwania,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kween,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kyankwanzi,District,Mid-Western,IC09,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kyegegwa,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kyenjojo,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Kyotera,District,Kooki,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Lamwo,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Lira,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Lira City,City,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Luuka,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Luweero,District,North Central,IC08,Documented recruitment grouping,No centre conflict,S4; S5; S6
Lwengo,District,Kooki,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Lyantonde,District,Kooki,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Madi-Okollo,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Manafwa,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Maracha,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Masaka,District,Southern,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Masaka City,City,Southern,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Masindi,District,Mid-Western,IC18,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mayuge,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mbale,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mbale City,City,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mbarara,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mbarara City,City,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mitooma,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mityana,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Moroto,District,North Eastern,IC04,Documented recruitment grouping,No centre conflict,S4; S5; S6
Moyo,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mpigi,District,Central / Kampala Extra,IC10,Shared recruitment catchment,No centre conflict,S4; S5; S6
Mubende,District,Mid Central,IC15,Documented recruitment grouping,No centre conflict,S4; S5; S6
Mukono,District,East Central,IC02,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nabilatuk,District,North Eastern,IC04,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nakapiripirit,District,North Eastern,IC04,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nakaseke,District,North Central,IC08,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nakasongola,District,North Central,IC08,Documented recruitment grouping,No centre conflict,S4; S5; S6
Namayingo,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Namisindwa,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Namutumba,District,Iganga,IC01,Documented recruitment grouping,No centre conflict,S4; S5; S6
Napak,District,North Eastern,IC04,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nebbi,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Ngora,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Ntoroko,District,Western,IC14,Documented recruitment grouping,No centre conflict,S4; S5; S6
Ntungamo,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Nwoya,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Obongi,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Omoro,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Otuke,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Oyam,District,Mid Northern,IC16,Documented recruitment grouping,No centre conflict,S4; S5; S6
Pader,District,Northern,IC17,Documented recruitment grouping,No centre conflict,S4; S5; S6
Pakwach,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Pallisa,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rakai,District,Kooki,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rubanda,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rubirizi,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rukiga,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rukungiri,District,Kigezi,IC19,Documented recruitment grouping,No centre conflict,S4; S5; S6
Rwampara,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Sembabule,District,Kooki,IC11,Documented recruitment grouping,No centre conflict,S4; S5; S6
Serere,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Sheema,District,South Western,IC13,Documented recruitment grouping,No centre conflict,S4; S5; S6
Sironko,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Soroti,District,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Soroti City,City,Mid-Eastern,IC03,Documented recruitment grouping,No centre conflict,S4; S5; S6
Terego,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Tororo,District,Eastern,IC06,Documented recruitment grouping,No centre conflict,S4; S5; S6
Wakiso,District,Central / Kampala Extra,IC07,Shared recruitment catchment,No centre conflict,S4; S5; S6
Yumbe,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
Zombo,District,North Western,IC12,Documented recruitment grouping,No centre conflict,S4; S5; S6
