code,name,location,host_unit,region_code,region_attribution,attribution_basis,referral_rule,source,allocation_limitation,notes
MF01,Luzira Staff Hospital,Luzira,Kampala,PR-KAMPALA-EXTRA,Kampala Extra,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF02,Masaka Main Prison Health Center,Masaka,Masaka City,PR-SOUTHERN,Southern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF03,Nakasongola Main Prison Health Center,Nakasongola,Nakasongola,PR-NORTH-CENTRAL,North Central,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF04,Mbarara Main Prison Health Center,Mbarara,Mbarara City,PR-SOUTH-WESTERN,South Western,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF05,Ndorwa Main Prison Health Center,Kabale,Kabale,PR-KIGEZI,Kigezi,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF06,Fort portal Main Prison Health Center,Fort portal,Fort Portal City,PR-WESTERN,Western,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF07,Jinja Main Prison Health Center,Jinja,Jinja City,PR-SOUTH-EASTERN,South Eastern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF08,Mbale Main Prisons Health Center,Mbale,Mbale City,PR-EASTERN,Eastern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF09,Soroti Main Prisons Health Center,Soroti,Soroti City,PR-MID-EASTERN,Mid-Eastern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF10,Moroto Main Prison Health Center,Moroto,Moroto,PR-NORTH-EASTERN,North Eastern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF11,Gulu Main Prison Health Center,Gulu,Gulu City,PR-NORTHERN,Northern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF12,Arua Main Prison Health Center,Arua,Arua City,PR-NORTH-WESTERN,North Western,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF13,Lira Main Prison Health Center,Lira,Lira City,PR-MID-NORTHERN,Mid Northern,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF14,Masindi Main Prison Health Center,Masindi,Masindi,PR-MID-WESTERN,Mid-Western,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF15,Kaweeri Prison Health Center,Mubende,Mubende,PR-MID-CENTRAL,Mid Central,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Source spelling Kaweeri retained; often written Kaweri
MF16,Kauga Prison Health Center,Mukono,Mukono,PR-EAST-CENTRAL,East Central,Inferred from location and S4,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Facility name and stated location confirmed on notice
MF17,Kitalya Mini Max Prison Health Center,Kitalya,Wakiso,,Central / Kampala Extra (unresolved),Unresolved command,Nearest listed facility,S2 p.1,Notice does not allocate districts or regions to facilities,Wakiso location verified externally; facility command needs UPS confirmation
