region_code,political_unit,jurisdiction_type,source
PR-CENTRAL,Butambala,shared,UPS 2025 recruitment reference workbook
PR-CENTRAL,Gomba,shared,UPS 2025 recruitment reference workbook
PR-CENTRAL,Kampala,shared,UPS 2025 recruitment reference workbook
PR-CENTRAL,Mpigi,shared,UPS 2025 recruitment reference workbook
PR-CENTRAL,Wakiso,shared,UPS 2025 recruitment reference workbook
PR-EAST-CENTRAL,Buikwe,exclusive,UPS 2025 recruitment reference workbook
PR-EAST-CENTRAL,Buvuma,exclusive,UPS 2025 recruitment reference workbook
PR-EAST-CENTRAL,Kayunga,exclusive,UPS 2025 recruitment reference workbook
PR-EAST-CENTRAL,Mukono,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Budaka,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Bududa,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Bukwo,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Bulambuli,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Busia,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Butaleja,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Butebo,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Kapchorwa,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Kibuku,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Kween,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Manafwa,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Mbale,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Mbale City,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Namisindwa,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Pallisa,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Sironko,exclusive,UPS 2025 recruitment reference workbook
PR-EASTERN,Tororo,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Bugiri,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Bugweri,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Buyende,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Iganga,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Kaliro,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Luuka,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Mayuge,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Namayingo,exclusive,UPS 2025 recruitment reference workbook
PR-IGANGA,Namutumba,exclusive,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Butambala,shared,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Gomba,shared,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Kampala,shared,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Mpigi,shared,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Wakiso,shared,UPS 2025 recruitment reference workbook
PR-KIGEZI,Kabale,exclusive,UPS 2025 recruitment reference workbook
PR-KIGEZI,Kanungu,exclusive,UPS 2025 recruitment reference workbook
PR-KIGEZI,Kisoro,exclusive,UPS 2025 recruitment reference workbook
PR-KIGEZI,Rubanda,exclusive,UPS 2025 recruitment reference workbook
PR-KIGEZI,Rukiga,exclusive,UPS 2025 recruitment reference workbook
PR-KIGEZI,Rukungiri,exclusive,UPS 2025 recruitment reference workbook
PR-KOOKI,Kyotera,exclusive,UPS 2025 recruitment reference workbook
PR-KOOKI,Lwengo,exclusive,UPS 2025 recruitment reference workbook
PR-KOOKI,Lyantonde,exclusive,UPS 2025 recruitment reference workbook
PR-KOOKI,Rakai,exclusive,UPS 2025 recruitment reference workbook
PR-KOOKI,Sembabule,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Kagadi,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Kakumiro,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Kassanda,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Kibaale,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Mityana,exclusive,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Mubende,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Alebtong,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Amolatar,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Apac,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Dokolo,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Kole,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Kwania,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Lira,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Lira City,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Otuke,exclusive,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Oyam,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Amuria,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Bukedea,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Kaberamaido,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Kalaki,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Kapelebyong,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Katakwi,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Kumi,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Ngora,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Serere,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Soroti,exclusive,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Soroti City,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Buliisa,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Hoima,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Hoima City,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Kiboga,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Kikuube,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Kiryandongo,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Kyankwanzi,exclusive,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Masindi,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-CENTRAL,Luweero,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-CENTRAL,Nakaseke,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-CENTRAL,Nakasongola,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Abim,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Amudat,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Kaabong,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Karenga,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Kotido,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Moroto,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Nabilatuk,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Nakapiripirit,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,Napak,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Arua,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Arua City,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Koboko,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Madi-Okollo,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Maracha,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Moyo,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Nebbi,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Obongi,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Pakwach,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Terego,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Yumbe,exclusive,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,Zombo,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Adjumani,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Agago,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Amuru,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Gulu,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Gulu City,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Kitgum,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Lamwo,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Nwoya,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Omoro,exclusive,UPS 2025 recruitment reference workbook
PR-NORTHERN,Pader,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-EASTERN,Jinja,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-EASTERN,Jinja City,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-EASTERN,Kamuli,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Buhweju,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Bushenyi,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Ibanda,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Isingiro,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Kazo,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Kiruhura,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Kitagwenda,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Mbarara,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Mbarara City,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Mitooma,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Ntungamo,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Rubirizi,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Rwampara,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,Sheema,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Bukomansimbi,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Kalangala,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Kalungu,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Masaka,exclusive,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Masaka City,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Bundibugyo,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Bunyangabu,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Fort Portal City,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Kabarole,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Kamwenge,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Kasese,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Kyegegwa,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Kyenjojo,exclusive,UPS 2025 recruitment reference workbook
PR-WESTERN,Ntoroko,exclusive,UPS 2025 recruitment reference workbook
