code,name,headquarters,interpretation,source
PR-CENTRAL,Central,"Security House, Kampala",Shared 5-unit recruitment catchment; do not add shared counts twice,UPS 2025 recruitment reference workbook
PR-EAST-CENTRAL,East Central,Mukono,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-EASTERN,Eastern,Mbale,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-IGANGA,Iganga,Iganga,Candidates use a centre in another region,UPS 2025 recruitment reference workbook
PR-KAMPALA-EXTRA,Kampala Extra,Luzira,Shared 5-unit recruitment catchment; do not add shared counts twice,UPS 2025 recruitment reference workbook
PR-KIGEZI,Kigezi,Kabale,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-KOOKI,Kooki,Lyantonde,Candidates use a centre in another region,UPS 2025 recruitment reference workbook
PR-MID-CENTRAL,Mid Central,Mubende,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-MID-NORTHERN,Mid Northern,Lira,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-MID-EASTERN,Mid-Eastern,Soroti,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-MID-WESTERN,Mid-Western,Masindi,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-NORTH-CENTRAL,North Central,Luwero,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-NORTH-EASTERN,North Eastern,Moroto,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-NORTH-WESTERN,North Western,Arua,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-NORTHERN,Northern,Gulu,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-SOUTH-EASTERN,South Eastern,Jinja,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-SOUTH-WESTERN,South Western,Mbarara,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-SOUTHERN,Southern,Masaka,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
PR-WESTERN,Western,Fort Portal,S4 grouping; S5 venue; S2 medical notice,UPS 2025 recruitment reference workbook
